CódigoFabrico;CódigoComercial;Descrição Breve;Descrição Completa;Unidade;Categoria
1000001;320030000001;Aglomerado Negro;Aglomerado Negro;UN;ME-AN
1100001;320030000002;Aparas;Aparas;UN;ME-AP
1200001;320030000003;Amostras;Amostras;UN;ME-BR
1200002;320030000004;Blocos;Blocos;UN;ME-BR
1200003;320030000005;Blocos Borracha;Blocos Borracha;UN;ME-BR
1200004;320030000006;Borracha DS;Borracha DS;UN;ME-BR
1200005;320030000007;Cilindros;Cilindros;UN;ME-BR
1200006;320030000008;Fol. e rolos/Spheroil;Fol. e rolos/Spheroil;UN;ME-BR
1200007;320030000009;Folhas;Folhas;UN;ME-BR
1200008;320030000010;Juntas;Juntas;UN;ME-BR
1200010;320030000011;Rolos;Rolos;UN;ME-BR
1200011;320030000012;hermoCork;hermoCork;UN;ME-BR
1300001;320030000013;Calcanheiras;Calcanheiras;UN;ME-CC
1300002;320030000014;Insock Orthema;Insock Orthema;UN;ME-CC
1300003;320030000015;Insock Paromed;Insock Paromed;UN;ME-CC
1300004;320030000016;Meias Palmilhas;Meias Palmilhas;UN;ME-CC
1300005;320030000017;Orthofit;Orthofit;UN;ME-CC
1300007;320030000018;Palmilhas c/ Bicolor;Palmilhas c/ Bicolor;UN;ME-CC
1300008;320030000019;Palmilhas c/ Caraculo;Palmilhas c/ Caraculo;UN;ME-CC
1300009;320030000020;Palmilhas c/ Latex;Palmilhas c/ Latex;UN;ME-CC
1300010;320030000021;Palmilhas c/ Pele Nat;Palmilhas c/ Pele Nat;UN;ME-CC
1300011;320030000022;Palmilhas c/ Tecido;Palmilhas c/ Tecido;UN;ME-CC
1300012;320030000023;Palmilhas Moldadas;Palmilhas Moldadas;UN;ME-CC
1300013;320030000024;Pellets;Pellets;UN;ME-CC
1300014;320030000025;Plataformas Ortopedica;Plataformas Ortopedica;UN;ME-CC
1300015;320030000026;Solados;Solados;UN;ME-CC
1300016;320030000027;Tacões Moldados;Tacões Moldados;UN;ME-CC
1300017;320030000028;Pasta;Pasta;UN;ME-CC
1400002;320030000029;Memoboards;Memoboards;UN;ME-GI
1500001;320030000030;Granulado AD;Granulado AD;UN;ME-GR
1500002;320030000031;Granulado BD;Granulado BD;UN;ME-GR
1500003;320030000032;Granulado BT;Granulado BT;UN;ME-GR
1500004;320030000033;Granulado MF;Granulado MF;UN;ME-GR
1500006;320030000034;Triturados;Triturados;UN;ME-GR
1600001;320030000035;Aglomerado Betuminoso;Aglomerado Betuminoso;UN;ME-OA
1600002;320030000036;Barris;Barris;UN;ME-OA
1600003;320030000037;Batoques Silicone;Batoques Silicone;UN;ME-OA
1600004;320030000038;Blocos Calçado;Blocos Calçado;UN;ME-OA
1600005;320030000039;Blocos Decor;Blocos Decor;UN;ME-OA
1600006;320030000040;Blocos Parquet;Blocos Parquet;UN;ME-OA
1600007;320030000041;Bolas;Bolas;UN;ME-OA
1600008;320030000042;Coco;Coco;UN;ME-OA
1600009;320030000043;Cortiça com Papel;Cortiça com Papel;UN;ME-OA
1600010;320030000044;Cortiça em Prancha;Cortiça em Prancha;UN;ME-OA
1600011;320030000045;Decor;Decor;UN;ME-OA
1600012;320030000046;Desperdícios Vinil;Desperdícios Vinil;UN;ME-OA
1600013;320030000047;Engarrafadores;Engarrafadores;UN;ME-OA
1600014;320030000048;Isodec;Isodec;UN;ME-OA
1600016;320030000049;Ladrilhos;Ladrilhos;UN;ME-OA
1600017;320030000050;Laminas Cortiça Nat.;Laminas Cortiça Nat.;UN;ME-OA
1600018;320030000051;Máquinas;Máquinas;UN;ME-OA
1600019;320030000052;Materiais Corkwall;Materiais Corkwall;UN;ME-OA
1600020;320030000053;Materiais Dyncork;Materiais Dyncork;UN;ME-OA
1600021;320030000054;Muro Silêncio;Muro Silêncio;UN;ME-OA
1600022;320030000055;Orçamento;Orçamento;UN;ME-OA
1600023;320030000056;Parquet;Parquet;UN;ME-OA
1600024;320030000057;Parquet Flutuante;Parquet Flutuante;UN;ME-OA
1600026;320030000058;Prod.Limpeza Corklife;Prod.Limpeza Corklife;UN;ME-OA
1600027;320030000059;Regranulado Negro;Regranulado Negro;UN;ME-OA
1600028;320030000060;Rodapés;Rodapés;UN;ME-OA
1600029;320030000061;Saca Rolhas;Saca Rolhas;UN;ME-OA
1600030;320030000062;Stabyll;Stabyll;UN;ME-OA
